geom,value
POINT(-97.3495637679116 32.8317595773591),
POINT(-95.5387476985407 29.7578609706131),
POINT(-98.2452905159136 29.4793531259201),
POINT(-93.6862494296107 31.1170617832925),
POINT(-97.5939726421331 27.8378148101757),
POINT(-95.3143988486796 29.7508170054789),
POINT(-95.5977760281697 29.7450061078698),
POINT(-97.3105074158879 32.7404047635277),
POINT(-96.7933559225247 32.8734515321208),
POINT(-98.4994056177893 29.4979760260402),
POINT(-94.6092421608769 29.6525174920951),
POINT(-97.6461267550512 26.1359038507382),
POINT(-96.6141976118181 33.2088020209585),
POINT(-97.7592262058765 30.4105415487181),
POINT(-97.3546217021643 32.7069414089367),
POINT(-95.4105001881648 29.2833712708377),
POINT(-97.3559812590309 32.7054362717124),
POINT(-95.6222237816577 29.7176425809976),
POINT(-95.3988137294578 31.2596058257565),
POINT(-96.7787146673128 32.8080621762587),
POINT(-98.1066624916997 26.3525727586697),
POINT(-97.7451902634891 28.4139268351372),
POINT(-97.0079497704486 32.7353628385617),
POINT(-95.4175074789797 29.7644523353846),
POINT(-106.316396670645 31.762348522425),
POINT(-96.8940670594997 32.6299112975544),
POINT(-95.2919185241245 29.7430749572248),
POINT(-97.0972244437586 32.7100002001286),
POINT(-96.6989905275229 33.1066747207568),
POINT(-96.7120761366541 32.867278944219),
POINT(-101.691964948791 34.1810385527567),
POINT(-97.4181969584444 27.7802580404621),
POINT(-96.8154999429974 32.7551327826224),
POINT(-95.2169962280476 29.3669982904068),
POINT(-101.636647331336 33.4395514264823),
POINT(-99.7872286755187 32.4613515727433),
POINT(-102.134146088447 32.005962358589),
POINT(-97.4155821098795 27.7620098140559),
POINT(-98.2556870830407 26.2153112444173),
POINT(-100.919454458336 29.400039057495),
POINT(-95.5618270205193 29.7482611717804),
POINT(-96.7026776226091 33.1008542857484),
POINT(-98.525254401277 29.5133261629212),
POINT(-97.6008929679779 29.6418492112991),
POINT(-95.0009972462253 29.7646452787834),
POINT(-98.2111597055826 32.2226469818113),
POINT(-97.6520310977404 29.7158212906365),
POINT(-97.9635891398818 29.8911062069521),
POINT(-101.805648902527 33.5557117338564),
POINT(-95.6177178250815 29.7156988450337),
POINT(-95.3550888391713 29.6307104940194),
POINT(-98.1128002049544 26.1608004972077),
POINT(-95.4901543431496 29.7968192240662),
POINT(-95.6085166759325 29.7757298500027),
POINT(-94.336848486924 32.5388186888384),
POINT(-100.398862687464 32.4771305857197),
POINT(-94.7741269644297 29.312307515919),
POINT(-95.4056988619648 29.0166083313345),
POINT(-101.830073937414 35.205656970263),
POINT(-96.7564811461775 32.795297146248),
POINT(-96.3847758017517 30.5967655923736),
POINT(-99.7522573051375 32.4128158056021),
POINT(-97.2866870329064 32.7267041674423),
POINT(-101.942921960659 32.7299901136338),
POINT(-100.967727949349 35.5483245466747),
POINT(-96.790549636361 32.8702124638836),
POINT(-96.7826842787164 32.8098366618778),
POINT(-98.4610656476875 29.5774275910236),
POINT(-96.6022454590229 32.6329557599127),
POINT(-95.3743781737599 29.7157398520805),
POINT(-97.812653398869 33.2689646988624),
POINT(-96.9745662611472 28.7992104806413),
POINT(-94.9237468806471 29.4005543971685),
POINT(-96.4512339053538 32.0973416788354),
POINT(-94.2066465876738 33.1163346166041),
POINT(-96.8807267219363 29.9068741665554),
POINT(-98.4669427438163 29.4931962629309),
POINT(-98.1563936199737 26.1937557047877),
POINT(-97.6801453210486 27.7723529850906),
POINT(-96.6454521195064 32.7443459226312),
POINT(-106.441433533055 31.8180138203396),
POINT(-97.6786959515424 30.3763329917548),
POINT(-99.8620306917057 28.5354987496532),
POINT(-97.8473779156969 30.5592229739147),
POINT(-94.0831208077659 30.0409313219764),
POINT(-98.4610921823288 29.4208809592356),
POINT(-97.3552253600424 31.0735720719466),
POINT(-95.2936254283535 29.9269576300925),
POINT(-97.7947154387396 26.4771344559375),92054.282890144
POINT(-95.3679204137254 30.9501354076452),94541.81584734912
POINT(-98.3982591888628 26.3033359630574),109469.35717884128
POINT(-95.3217577482662 32.3405492749631),110867.26197063904
POINT(-97.1228804441693 31.5428391131463),89039.741830835264
POINT(-97.6982247953793 31.1198325080666),52206.168483804489
POINT(-99.4988180675445 27.5317717491506),88386.412305269769
POINT(-96.8734339503258 32.656880323328),101484.15976313109
POINT(-95.2922793825772 29.8508193072455),79832.61464846645
POINT(-95.3404015587547 29.7732002428664),83185.647263478226
POINT(-95.3607166459658 29.6496513706089),87514.322431107474
POINT(-96.3005454151765 30.6087609215),105955.97248484469
POINT(-94.4114861061275 33.4594035492492),70871.588552680027
POINT(-106.440337072553 31.7987707327465),87118.645827570523
POINT(-95.5528592491252 29.7068460125059),94131.988535514989
POINT(-95.3450246716111 29.68975541297),78273.337114389869
POINT(-101.866806927524 33.5920071421487),57995.235941827574
POINT(-98.5320370133229 29.3858630212644),109613.05648652639
POINT(-95.3380837375847 29.7775502133784),111353.87844231103
POINT(-94.1215457014203 30.0413475348724),110096.14514191455
POINT(-96.7715835731437 32.6973277593381),101484.86203336788
POINT(-106.414598113494 31.8853031564948),108835.91912238004
POINT(-97.3539055141476 32.6265227955368),108619.08265335028
POINT(-99.4701843976149 27.5033672870135),106710.98925052532
POINT(-95.5062290166917 29.6614243893684),90013.767597410842
POINT(-94.8013518944426 31.1848004887919),109907.40172082686
POINT(-97.1749376107258 31.5203535089505),104149.7397796163
POINT(-98.4636384180468 29.3632405268234),85782.0569695347
POINT(-97.6830509796942 26.1838908103415),101748.84311988254
POINT(-106.43163750371 31.8542536935557),86770.515923646453
POINT(-101.8639321089 33.5886237059283),61366.934259035006
POINT(-96.9946705885322 28.7984013534641),109305.17892461299
POINT(-95.1508945658156 29.7340726574492),86906.23854224883
POINT(-97.7421624146237 30.286551738788),32831.461683525566
POINT(-106.158760187515 31.506666657324),89264.512052074759
POINT(-94.076514094111 33.4073129022746),82362.578118233927
POINT(-95.341158721748 29.6941226248983),57916.188807540871
POINT(-95.3788105760676 29.8361983402623),94286.5653229588
POINT(-99.8257231658354 28.7092826170622),109552.11299166568
POINT(-98.5083521476015 29.343823722843),105758.28826870344
POINT(-98.800682898151 26.3746350265157),72518.766934195024
POINT(-95.4753810377544 30.5112507648597),111385.82300151304
POINT(-96.8741479155688 32.6559347450167),102475.98402370536
POINT(-97.4149302500904 27.7558413003838),64622.6199460004
POINT(-98.5022350888922 29.4356229177773),85372.4003453828
POINT(-97.9287405536751 26.4308909989376),97297.18819856648
POINT(-94.7458654817085 32.4995195306225),79169.287860018
POINT(-98.4441914145198 26.4660140449423),99068.198252956441
POINT(-95.5885765319691 28.8356800639927),87740.492714661785
POINT(-98.3934061028589 29.4128075479053),88560.099567258585
POINT(-97.1134677231133 31.5449298425947),102376.78716133309
POINT(-97.1573244048779 31.5582626353868),81994.708869056674
POINT(-96.8035436066168 32.6908789471005),110255.27699553917
POINT(-97.4961747206153 25.9082894400602),97117.560449496683
POINT(-93.9159697011558 30.6690616554578),93399.969663853364
POINT(-104.369113237034 29.5640307345552),89675.023836375156
POINT(-106.260398769886 31.6522518106363),88863.827090792052
POINT(-98.9081233875434 34.032155634397),88398.0910967013
POINT(-97.005723366759 28.773128932025),102412.5686105621
POINT(-98.5465273030549 29.4334169745527),109327.47984753842
POINT(-97.4078645941701 27.764879654677),103518.08312329266
POINT(-97.9233477860058 29.8929338083268),110249.00352097714
POINT(-101.87984314328 33.59257729326),97230.02653419858
POINT(-106.447541601273 31.7880870983647),82069.118872221748
POINT(-95.356725022094 29.7895964140561),68252.07965554962
POINT(-95.5756900108185 29.7401210063179),97886.348026246269
POINT(-97.3137917192425 32.7210720032089),96491.483660246973
POINT(-96.3570330050666 30.5694005404725),97166.448352678141
POINT(-95.3041792790502 32.3724144296673),65108.695453841981
POINT(-95.3873845409507 30.9434253940498),104121.01857346567
POINT(-106.430990981536 31.7722916112202),110749.66595431911
POINT(-97.4559065947041 25.8948583471378),110167.03968375303
POINT(-97.4830269514319 25.9058908842944),78122.49670897788
POINT(-96.8645997615619 32.7756505880751),60940.70926878204
POINT(-97.40248388271 32.7224917724128),56752.488219270424
POINT(-106.497432223009 31.7602132811821),110498.56216822492
POINT(-98.1063157058822 32.8091469391888),80704.082669857176
POINT(-94.6620753321901 31.6060502337712),96425.70939743612
POINT(-97.6778379625181 30.3653794478105),99804.8619777958
POINT(-95.3674168985431 29.6562342932475),70020.214903735192
POINT(-98.311122875598 26.2121470966652),68908.798499664481
POINT(-97.097156894823 31.5400464886184),76781.463620858209
POINT(-98.5075483661942 29.4147385007673),54336.325066706922
POINT(-98.1466258572759 31.7015709293075),100262.26753701745
POINT(-98.1813024148144 26.1239539889293),111364.82088820785
POINT(-95.3821211992572 29.8367713031324),66393.092528914218
POINT(-95.4907490056279 29.7049667316982),107681.41513586545
POINT(-97.4910294149591 25.9118341095629),80952.302481539955
POINT(-94.1957839762294 30.3524504694849),76726.098785127731
POINT(-94.3023656626027 30.846297317535),79518.0341836727
POINT(-99.4996125518838 27.5319488412699),110915.8329292839
POINT(-98.4777492198409 33.9146281170617),88482.948429646844
POINT(-106.467696671428 31.770315476545),61376.71091532486
POINT(-97.4699975725627 25.9416737989251),95623.34220393734
POINT(-98.3853380387861 26.3417752024607),104031.44442276006
POINT(-98.3780343001778 29.5685950783178),96532.766158531333
POINT(-98.5427753050415 29.4797171430405),92848.856678282245
POINT(-106.424807773788 31.7574407812547),95117.763972481989
POINT(-95.4145580127126 29.8713178149387),76659.955144572814
POINT(-98.2393708902586 27.7672727119673),111389.69151933883
POINT(-94.0664425045893 33.4477009657079),81347.947772733518
POINT(-99.5010378622698 27.5138671427211),85415.93661292443
POINT(-97.2454338760463 32.6996234352052),69933.647269721623
POINT(-98.4663676785886 29.3698757559039),98604.628201924439
POINT(-98.3849483364616 29.4898987639691),62155.233586064343
POINT(-95.5706756161761 33.6566497497598),94375.392217523287
POINT(-97.4198719759076 27.7945133527182),97331.080648294679
POINT(-95.972528829764 28.9901721693696),93117.530734379936
POINT(-99.482750477919 27.5348763815815),101752.7205164184
POINT(-97.505556613136 25.8939236148848),51606.264920759648
POINT(-106.404606164293 31.7640255369417),105662.42206149637
POINT(-97.7451748255064 30.2867789182301),48658.722582857074
POINT(-94.410325211661 33.4622565640253),57969.00111244389
POINT(-97.4510583896295 25.9446199532624),100590.42698312517
POINT(-97.1410832331052 33.2100294564284),110201.34067045125
POINT(-97.1312618596861 31.5810315022438),57198.883149980786
POINT(-98.4768854005551 29.376929999659),69411.3215188665
POINT(-95.3467924763313 29.8464964008799),111027.51642683354
POINT(-95.5060836012771 29.6637124671052),109070.56559202202
POINT(-101.873177275769 35.2086730186139),99780.199409673165
POINT(-97.3163000537291 32.7398166981825),88943.097349795789
POINT(-98.5587517163402 29.3896896214764),108292.53695882767
POINT(-97.6779302449826 27.7842042267788),105657.00291807727
POINT(-97.0949447753093 31.5442603497261),65467.427094768726
POINT(-97.0699770369324 32.7308972525255),103612.71899294735
POINT(-97.4953457007982 25.9046204668717),80220.392364135958
POINT(-98.1421733562152 31.6970988299517),85364.907563861663
POINT(-97.1130188027654 31.5406414824275),32284.777149672671
POINT(-98.8314032171267 26.3957027078128),101602.31937614724
POINT(-93.9366435118577 29.8752923513127),71346.064304265
POINT(-106.442141940385 31.8120969537366),110610.02776164676
POINT(-95.3406578785106 29.6953016624737),71785.576891728168
POINT(-95.3270924600764 29.7789069636475),98334.611517121128
POINT(-94.1574769164012 30.1524165216711),78329.093773856817
POINT(-94.7023785739609 32.4852890836029),80098.722577059889
POINT(-94.6303758270526 31.5869840692131),108741.37912525465
POINT(-96.7600288033402 32.8699986211218),105340.13446603001
POINT(-95.4924032129982 29.7021454949288),99928.517064950138
POINT(-93.9875079826936 30.9307524453014),107524.89935181625
POINT(-96.7550278688282 32.8677457156595),107225.57396127513
POINT(-101.862811705999 35.2074413849165),108810.40590848793
POINT(-97.15965937971 33.2133922223738),109953.69504343385
POINT(-96.306738090719 30.6144040869329),111259.01965845753
POINT(-97.7027125815918 26.1811309110431),110864.55387647737
POINT(-95.5613547972013 29.6571168425797),14919.840548974531
POINT(-95.36759914225 29.6470181923156),74253.730791529219
POINT(-95.254762098617 29.9882103637498),107486.0180903787
POINT(-95.7168395236622 29.593338208395),108039.85620471278
POINT(-95.3527085027165 29.6788601933502),92033.28474374894
POINT(-97.714950572556 30.2411085001081),101629.83504801166
POINT(-106.349414828277 31.7384262211661),91350.0475597947
POINT(-98.4009531360975 29.4187182623684),97563.652893067221
POINT(-97.6314222685926 26.1395163240006),93881.581545068053
POINT(-98.1811252330603 26.121294292601),101330.74150114403
POINT(-95.2658061178322 29.6734494389954),109775.33628696227
POINT(-95.2002819474104 31.0004162589876),111097.16458897699
POINT(-95.5751443474836 29.7371641460456),107977.10490689827
POINT(-93.9311629233486 29.8737720786059),111213.52932981848
POINT(-97.1102771658823 32.725927596928),78487.065106040944
POINT(-98.2558375742095 27.7471649347567),107812.19326833464
POINT(-96.3330030279945 30.5933027945025),105384.39363482488
POINT(-95.768073653691 29.5816446987041),97018.140728897008
POINT(-96.8886741023325 32.6686541741905),110538.8699771676
POINT(-95.4783665201805 29.8854705706582),98508.322693467257
POINT(-98.9806175119166 26.4211676445526),109362.12274718253
POINT(-96.771102139685 32.8070000932637),85147.84551625773
POINT(-94.9930200306759 29.499786942521),110292.06452561005
POINT(-98.0519136469934 26.2537284801269),107538.84423954957
POINT(-97.4051269018233 27.8043264757031),92466.420387786187
POINT(-106.436990291712 31.8589950775302),87009.7470286973
POINT(-106.479219884691 31.7537166953094),73928.48066236898
POINT(-101.869044317483 33.5875940210696),31667.3436176461
POINT(-106.356292223137 31.7303668389591),109478.11391629762
POINT(-96.2253075385291 28.7220223085971),82982.6046215949
POINT(-98.4387623784828 29.3666148385894),58949.6414467133
POINT(-99.5311690217677 28.8787218779642),72024.6706859693
POINT(-98.4649712890476 29.3598305524193),87061.8586517517
POINT(-96.6776036956531 32.9108153108781),82080.232139609885
POINT(-98.5000931988956 29.4369224369163),97876.763016889949
POINT(-98.5148670050714 29.4231808971017),66772.104507748765
POINT(-98.3840921369788 29.4915825429292),81114.948803097446
POINT(-96.6991088906318 32.716563844012),78930.40874746487
POINT(-96.7596183188179 32.6751464575739),92467.596443192175
POINT(-102.388020063925 31.8454938814899),109625.8191124094
POINT(-95.5736600906929 29.686096111394),91825.0743878606
POINT(-95.403948797886 29.9256567305055),111135.36945590604
POINT(-97.9228043349181 29.8929701928634),95622.314159320449
POINT(-94.1196946627241 30.0603852747536),79606.83237699137
POINT(-95.5690001705575 30.736903529175),108993.83658257441
POINT(-94.9007361868666 29.3873820333815),102406.64370551745
POINT(-96.7864507019236 32.7995277621108),102490.82560746209
POINT(-93.935077256092 29.8891393673218),109942.8963600623
POINT(-97.9881240428361 26.1690866430807),95292.132529100316
POINT(-95.617615395874 31.7767809700208),79070.234807927132
POINT(-95.1766562938608 29.7801626927796),100811.66868448118
POINT(-95.3085271627016 32.3714192862443),88582.0098111935
POINT(-97.7455396553132 28.3894742318953),99918.549051023525
POINT(-98.47685830186 33.9339181725119),57736.233230653175
POINT(-106.477225951927 31.7554341260437),78356.294913610167
POINT(-94.474613284888 32.7745996433944),88479.452434470455
POINT(-96.81720414591 33.1537243652354),389193.114355688
POINT(-95.0573047338879 29.4748317842614),411410.78764629312
POINT(-97.724715532676 30.2449974847435),521635.55991194944
POINT(-96.6906936740721 28.9352722574619),288104.17525392352
POINT(-96.2700480556202 32.0548570906474),302949.22032210912
POINT(-94.9567044510791 32.4622479275498),242634.65954433664
POINT(-98.1746797256042 27.451685352462),457964.1614257216
POINT(-97.2150625921773 31.6357359892255),350490.40907440416
POINT(-95.8927171920947 29.7032365438804),1070913.9607096144
POINT(-95.4865481190535 29.6095290928448),365998.59271878592
POINT(-95.4252238009982 30.2466588239525),413317.25647448
POINT(-95.5672623000605 29.7309566837346),325683.00480931776
POINT(-98.5003694857043 29.3556061663479),205714.09608296384
POINT(-97.9774195695704 30.7347913446854),588404.361709376
POINT(-98.7347728357811 29.4402699838181),574785.27916832
POINT(-96.907063381065 33.1047321245949),224134.10396777376
POINT(-100.251484151985 35.2129065901205),178232.52184130112
POINT(-98.1244208524152 26.2872892808946),395745.07453776448
POINT(-102.540784066891 32.3111888347747),183367.68434528832
POINT(-97.8496908239757 29.2718161622958),326542.2542436
POINT(-97.7443692886486 30.2176943709501),249213.739972368
POINT(-97.7311961310975 30.3229750567952),364121.50910480256
POINT(-94.9763225684587 29.7812919339827),208001.130811104
POINT(-97.4598289862387 32.8376687360158),311587.3094689264
POINT(-96.3931442980876 29.102286393535),335115.33936921088
POINT(-95.6070444128324 29.3532569302509),461284.54872205824
POINT(-97.4411550972128 25.8812205407214),195681.81463064736
POINT(-96.3316418457316 30.6269704566095),190705.78017736512
POINT(-95.0232368105995 29.5445036944135),611195.97126408
POINT(-95.5803336615943 29.6746576788617),230682.57868240704
POINT(-95.7583180969195 30.0214514142617),599728.4705820448
POINT(-98.4877895650682 29.1509754841657),255843.59501630944
POINT(-96.3681046633017 32.8561644913396),567018.30705032672
POINT(-97.7797180639016 30.2090110193672),361811.98869368288
POINT(-97.4687849649317 25.9147089364101),190294.62822030816
POINT(-97.089723695162 31.6520755817858),273568.51525479904
POINT(-95.5094189062497 29.7030593267786),334141.2386495808
POINT(-95.767455498535 29.7705439896723),279385.52108778624
POINT(-102.514472640439 31.79830810409),356349.85145717184
POINT(-95.7930835441232 32.4097541665506),230650.80468976064
POINT(-94.1250740035798 32.3389517762768),143288.612064728
POINT(-96.7658650311573 32.773891886555),147633.380404696
POINT(-96.7978946412646 33.17680493959),714231.27076003584
POINT(-97.6528872262555 30.3048837355715),289254.44612148288
POINT(-96.6476469819898 33.0878396168848),539767.73094941408
POINT(-102.150623879991 32.0132744777761),285002.118153544
POINT(-98.7300270417948 32.2575638491574),204819.87245944864
POINT(-95.6620888835001 29.7181695159675),384948.2133026
POINT(-101.294634899512 33.9670198069458),205763.1546786784
POINT(-97.6873642004038 30.4937497003863),529716.45548418048
POINT(-101.928280172515 33.5868798225685),157219.81331145024
POINT(-98.7039697812016 29.4032507587157),443848.19328090432
POINT(-95.3976380335741 30.0513259403826),255778.92950661088
POINT(-95.6333937556845 30.3953970639411),304888.10259099264
POINT(-95.4372588027313 29.9383835845857),146989.03513484928
POINT(-95.3056725580978 29.9031582294079),190356.72157111584
POINT(-97.74216809714 32.2353113492249),220255.48999203776
POINT(-98.0773084513825 29.6684375439924),253215.89426805696
POINT(-95.4774113266366 29.7326927441737),811115.61170424416
POINT(-96.7269945162734 32.9003245296413),188930.6160687744
POINT(-95.8159315183222 29.8036834065274),565034.12863336352
POINT(-96.6134589837028 33.6634678379418),174887.10455637568
POINT(-97.7160748052847 26.3841515729732),224893.25735130688
POINT(-96.8424206853871 32.6001128575419),466444.9158772896
POINT(-106.577901427323 31.8631847224622),205891.25291987136
POINT(-101.912547511177 35.1588035505274),480556.62739416928
POINT(-102.363640342535 31.8276712636356),298684.6603649552
POINT(-98.5004074228535 29.3650068763362),262744.03702664
POINT(-96.8699712095513 32.8469530712866),262638.762441528
POINT(-99.4538650551519 27.5138043581275),537774.4189112368
POINT(-95.7969552859808 29.7307258022077),1011471.6882456144
POINT(-98.7110742548967 29.5147684075921),338561.15624306112
POINT(-97.9801190535476 26.1740886769342),348201.2781010032
POINT(-97.3014612831396 32.9393237323788),615965.65533856512
POINT(-97.1080940495788 32.9733182371523),691432.52889416448
POINT(-98.5478854093264 33.8727713901816),189863.87826578176
POINT(-97.6889648761462 30.2061005994029),314466.290735808
POINT(-95.5123724700146 30.0632350563123),707531.6744604304
POINT(-99.4845163464807 27.443194098866),244802.89306085792
POINT(-95.238630020011 29.9568798037525),578990.75066191936
POINT(-96.2537728674677 32.6402997468174),310593.02832737664
POINT(-98.5764120543718 29.5552853225105),210138.20190633344
POINT(-97.8304063676928 32.3563693488728),263394.60695723392
POINT(-97.4241528906554 32.71900271228),594679.71271009312
POINT(-95.4223056001305 29.7342454750215),501744.38207677472
POINT(-98.4270285954585 29.3932330555341),281225.47309810016
POINT(-106.331355567689 31.7681978730496),472642.85234776064
POINT(-95.1785597678295 30.0638569053632),612572.266355176
POINT(-97.8046883558498 30.1649425363669),269470.91776102048
POINT(-106.333783223454 31.7004744412354),144155.35965544096
POINT(-97.763157570817 30.3101306267839),714682.397835728
POINT(-97.6594629351382 31.0949763136798),141893.91322101056
POINT(-96.6880365500236 33.1644777888341),549012.42258953536
POINT(-95.4676232752142 29.72818705776),443722.36101395072
POINT(-95.4561882024886 30.0186067099225),511792.20172658976
POINT(-96.7174301451657 32.9197244080709),145409.84022153504
POINT(-96.7086356405651 32.926347949502),573726.683787632
POINT(-97.6550079851732 30.5493753123863),582855.67523721152
POINT(-96.4550565547155 32.9335452924421),170819.537781104
POINT(-97.2314112287523 32.8506272328304),207253.219785048
POINT(-96.5975121303271 33.4217035335363),290051.6882001264
POINT(-96.6877780078013 32.7903906479458),284442.39834277472
POINT(-102.155200602755 32.0201375459718),209876.60972004256
POINT(-96.02516245924 32.6926881174595),184547.32819411872
POINT(-98.4886373484899 29.4135904339067),246604.53510149024
POINT(-97.0534900610614 33.0972958609186),1084380.54275716
POINT(-97.6724036572515 30.0869198791992),282502.639773944
POINT(-96.7100063218883 32.9147668460885),144093.72830652288
POINT(-97.3326240702529 32.9177174485703),384698.33999718272
POINT(-96.91925478894 32.8327970626847),231958.786347208
POINT(-96.0682415568249 29.572824300709),535909.59944330784
POINT(-97.1868489970212 32.8627938518901),591884.818278528
POINT(-96.7507069976199 33.1106092006644),586449.745651816
POINT(-96.7927280566344 32.5173344974733),527483.01975431328
POINT(-96.9765197956626 32.8339737590273),320484.98379655328
POINT(-100.98367279488 34.5306313439846),284238.61467856704
POINT(-97.6427247242137 30.4509999275754),265649.31331235648
POINT(-96.7084869223394 32.9073574871433),142086.6241450544
POINT(-98.3240881747216 26.1987550889033),337687.09533920384
POINT(-97.0569122670999 32.7853512086198),446478.141108256
POINT(-97.1375743985827 32.635847150563),600919.809245168
POINT(-95.1529263627784 29.5769277492665),821789.89193482336
POINT(-95.7529997769887 29.5509020668675),302912.59249796864
POINT(-101.932007094887 33.5464527086963),203238.16433280768
POINT(-97.7475464736679 30.3923152560917),327882.680465296
POINT(-95.5097508098022 29.9313135312196),396037.47645762272
POINT(-95.0345109342445 29.7915426759607),193436.33849322208
POINT(-97.3741476732924 32.7431734660334),411998.99637064064
POINT(-97.1462986538191 32.8026648630018),648116.60951830912
POINT(-95.9103089228266 33.2363247960283),153159.23644870336
POINT(-97.4745659449487 26.0836987219863),338298.00972988096
POINT(-97.9912640956203 26.1493724233922),442390.78601567936
POINT(-97.7318805244795 31.0924685771182),215661.21272141152
POINT(-99.8062043959129 31.976008773141),202073.7877268208
POINT(-96.8055253219901 32.7980580806621),532387.90188762464
POINT(-98.393766998658 26.227288560472),307585.25721508864
POINT(-95.4095139692978 30.0091906766475),291439.232194304
POINT(-96.7881606141041 33.0342800355166),611142.2287332624
POINT(-97.7582291823833 32.7323856799575),448567.36566226208
POINT(-97.529823082878 25.9372177669575),130504.13921742112
POINT(-96.7279753439605 33.1993850211526),513672.624957064
POINT(-95.8672111405915 29.7451867548438),816310.48493777856
POINT(-96.970073151356 32.8237693254214),201034.20064157952
POINT(-97.2914090752958 29.086999292416),177576.64662218656
POINT(-96.7142712406184 33.2029774903085),722679.2021413024
POINT(-96.305389084885 30.6580427978658),438796.75016866688
POINT(-95.5241351276773 30.2008630756898),1071168.414860744
POINT(-98.4278689216141 29.59407336566),612332.94479947968
POINT(-95.6260831976692 29.9145023300863),406961.10252021952
POINT(-95.7446385059359 29.8231746225331),458901.25785493344
POINT(-95.6223902623837 29.7506342218084),242396.48980239872
POINT(-95.9879758119927 29.8050631405377),259829.38078641312
POINT(-93.7437954465971 31.1742713077259),245427.64717003584
POINT(-95.4093522014935 29.7469804758286),458526.99618658784
POINT(-95.5900566997087 33.1421125291366),339803.31858577888
POINT(-97.2073072249515 32.7996862164958),612696.12886302848
POINT(-97.744188305565 30.2234898802967),275735.46428752
POINT(-96.9867894337977 28.7665656678612),187737.12679515936
POINT(-106.525796368197 31.839074139811),531116.12508663232
POINT(-97.1056295649138 32.7351449449712),132234.56364948928
POINT(-97.4072759631963 27.7095141024644),231863.81275128928
POINT(-94.1073614029294 33.4291812239831),409156.158557376
POINT(-98.0108669701642 29.7855084797074),422551.44688642112
POINT(-96.8427428043605 33.0316046865882),565259.23537614208
POINT(-97.2211281766619 32.6663287431869),310723.41985897504
