h3,id,geom,value,severity_concat_joined_joined,event_concat_joined_joined,event_count_joined_joined,name_joined_joined_joined,event_type,event_exists
8926cbd824bffff,0293be50-23da-4446-86a8-424b5cd937a4,POINT(-97.4185892129413 32.6985354078923),318588.42260163545,,,,,No event,No alert
8926c82a427ffff,6c287bd4-7591-44a5-877c-2b95af56edb1,POINT(-96.619876700608 33.0057929623884),541124.987343701,,,,,No event,No alert
89446c3652fffff,5ea12a67-837b-4685-95c5-eedb926edd86,POINT(-95.572904427247 29.9078982351724),939581.015954543,,,,,No event,No alert
8926c839b2bffff,b6c99f6b-bf88-4025-9c24-8c7f297f2088,POINT(-96.6714031928624 33.0154726513242),197747.2270638989,,,,,No event,No alert
8926d56eec7ffff,9ac790c2-ab70-4542-adba-dc2f42ff141d,POINT(-101.378438606503 35.6767954690356),120826.93187543456,,,,,No event,No alert
89446cb7373ffff,976bb99e-9aed-4a1a-a461-41eaae1462a8,POINT(-95.6950395300121 29.5524405529283),831327.94872193423,,,,,No event,No alert
8926cbda967ffff,d1a619b3-e719-42eb-adcb-e14c8636a9e4,POINT(-97.2858296126873 32.6879831815026),189651.27566234654,,,,,No event,No alert
8944684a917ffff,fe59d01a-8e02-4187-9686-e233a46735f0,POINT(-94.3023656626027 30.846297317535),79518.0341836727,,,,,No event,No alert
8948d6d9603ffff,dbd5e6fb-2424-443f-a609-0201ce4380b0,POINT(-102.327422407871 31.8768335586866),305117.86405814765,,,,,No event,No alert
89446c35587ffff,f2efed1b-23c7-4899-9f64-e616968464c4,POINT(-95.4742945102118 29.9469519948336),264581.00010945194,,,,,No event,No alert
89444d5545bffff,f0805c37-6eed-4587-a2e7-071576db2659,POINT(-94.057193148802 32.9357187937926),152848.64047740432,,,,,No event,No alert
8926caba883ffff,03b1e914-7112-4c35-89c7-471ca71f9fab,POINT(-97.5808594327521 33.0859890886599),370635.96208035393,,,,,No event,No alert
89446c229b3ffff,37f7bb8c-6751-476b-a944-659877a1974a,POINT(-95.4403697234876 30.026650299862),215152.54067249264,,,,,No event,No alert
8926d56e303ffff,bb446416-e495-4905-b991-55a357dcbd77,POINT(-101.398739940168 35.6847811900877),248980.27724453,,,,,No event,No alert
89446c3749bffff,0a3037be-117b-49ae-844c-54b8dbda26b6,POINT(-95.4797529554992 29.8735302672364),185545.57595897419,,,,,No event,No alert
8948c6128afffff,2410e5e0-05f6-41b3-85b8-cfacd3a11377,POINT(-106.608724399434 31.8690829499008),532286.92330311227,,,,,No event,No alert
89446ca0a4bffff,089d5834-e053-466a-bc46-61756bc794c5,POINT(-95.5657499075791 29.6982025611913),168481.30750976576,,,,,No event,No alert
89446a85e83ffff,5dfdbf58-31a0-4414-ae35-7203aa36ac85,POINT(-93.9875606132173 30.9190629169257),221766.68668632925,,,,,No event,No alert
8926ca8d277ffff,b62b74e0-f329-43de-adf0-78e0d0aabb07,POINT(-97.9131594166339 33.1615272387178),365645.25310756679,,,,,No event,No alert
89446ca5343ffff,ad86484d-9267-45bf-a8ad-4bbc28535f5b,POINT(-95.6306547949752 29.7668701266195),634084.59243894578,,,,,No event,No alert
8926c86dd1bffff,88978b8b-1b79-4453-ac73-67e298921838,POINT(-97.0335776960665 32.7828668421589),717661.562207158,,,,,No event,No alert
89446dba5d7ffff,db20b4f9-d334-48a9-a3c3-ebbc16e87395,POINT(-96.5021570444487 30.1889257640131),404407.43447173125,,,,,No event,No alert
89446d3136bffff,6ea87686-9669-4371-9f2e-f0e8eb876a35,POINT(-96.3102972992869 30.6201100927959),174372.82603338439,,,,,No event,No alert
8948b3958afffff,77dd8ae9-7cc4-429e-ab10-859aacb54a40,POINT(-98.2131267882149 26.1258355647801),216025.37038649429,,,,,No event,No alert
89446c024bbffff,ba41033c-8556-480e-99ac-1a6fbc76b917,POINT(-95.1223701010427 29.5642179660367),151720.46618070634,,,,,No event,No alert
89446872237ffff,cb051c3e-e6d0-4362-8732-c2616e138c90,POINT(-94.6913737066139 30.9501662845588),230006.39668525022,,,,,No event,No alert
8926cbda2afffff,99451549-f873-4b19-a201-6d00e645ad81,POINT(-97.3620948905167 32.7539174724342),137767.93513631722,,,,,No event,No alert
8926c87618fffff,85d36553-8f6b-4526-9bdc-c65a04e46e95,POINT(-96.7561044420021 33.0876886120799),888173.90157270839,,,,,No event,No alert
89446cad31bffff,f74c5c84-b001-4710-b8ed-0a4b896577cd,POINT(-95.4614298010044 29.8208580228533),293485.07130445779,,,,,No event,No alert
89446cab047ffff,e3c593bf-6590-4c0d-b208-14b62849a125,POINT(-95.350623824049 29.6430461063986),258451.58287832281,,,,,No event,No alert
8926cbd71b7ffff,8e1a3921-0e87-4990-9823-8c29fa57f13c,POINT(-97.0530286940069 32.7049698092991),163126.57906608668,,,,,No event,No alert
8926c86896fffff,d3412ea9-d94f-4334-b411-83667badb696,POINT(-97.1170167241361 32.850780988292),366451.04754237732,,,,,No event,No alert
8926c915587ffff,98ffa899-a15b-4b0d-92a5-33e0d4bdafbc,POINT(-95.569335715891 32.7014800990256),411796.32014526508,,,,,No event,No alert
8948c612a13ffff,4e192918-76ee-460c-a97c-2f1399dd119b,POINT(-106.575511428145 31.8734223247255),511801.83198228147,,,,,No event,No alert
8926cbca337ffff,9cbae099-4898-45b3-a31a-dd50a83f99d7,POINT(-97.3667973300659 32.5743302973981),434112.69477609958,,,,,No event,No alert
8926c86ab97ffff,06bc1d4f-acd4-458e-9e53-188e5d426646,POINT(-97.0968256502416 32.9151983272797),246598.01973032634,,,,,No event,No alert
8926cbd28b3ffff,53d1f65b-300e-4abc-ac80-76161c5b39fb,POINT(-97.1175258224467 32.7716888183843),597081.00290801306,,,,,No event,No alert
8926cbd72c7ffff,2ef488c0-0954-4fad-8d82-32690bfba19d,POINT(-97.1153329166611 32.7141244561435),223724.76950208261,,,,,No event,No alert
8926c936d43ffff,1acec0f3-d1b6-4b3a-8f09-44a93ebc97cd,POINT(-95.1750005788873 32.3287766462005),301487.06739843392,,,,,No event,No alert
8926c850d6bffff,b2f869c4-14c6-43f6-9166-323fb9e1efc0,POINT(-97.1908454228958 33.4595482144344),278288.29962955136,,,,,No event,No alert
8926d0a3423ffff,61e55545-1411-4924-ac55-6842e022b0c0,POINT(-101.975169283627 35.8531314184111),150128.08611531148,,,,,No event,No alert
89446cac033ffff,5ad43367-bf76-4e52-92c0-a47c6507231c,POINT(-95.5465679501843 29.8032037801926),481734.23564207839,,,,,No event,No alert
89446c05a9bffff,b3b0e8b4-96a3-42d0-b563-7e766816276c,POINT(-95.1651507058087 29.8029669988189),560214.36742376827,,,,,No event,No alert
8926c87616bffff,b2edfb76-2599-4723-ab4f-61fb59393e47,POINT(-96.7683557415958 33.0738330455527),877725.04199109413,,,,,No event,No alert
8926c839977ffff,e73d29eb-1a6e-48a6-981b-18fe91ff847b,POINT(-96.6508358313177 33.0254055692658),601828.80009659822,,,,,No event,No alert
89446c11e83ffff,61875c0a-3d9d-414a-aebb-3a606816deef,POINT(-95.0589741014811 29.5144400972234),774385.75300342822,,,,,No event,No alert
894893cf48bffff,fab8357f-eaea-4a36-bb72-ce1164471594,POINT(-95.9637455592152 28.9517172389777),257017.3673039102,,,,,No event,No alert
89446ca549bffff,2d446a58-b04e-4fc0-a5ed-c4b77c95e1fe,POINT(-95.6491250998634 29.7106171835456),303220.83082480414,,,,,No event,No alert
89446ca1d8bffff,810b0e30-8554-422d-bcaf-79ec55bd80df,POINT(-95.5631648433288 29.6755431466041),219711.00110080958,,,,,No event,No alert
8948936f093ffff,5f4910fe-8413-481c-9200-6ef48818b45f,POINT(-96.0010667546031 29.7225715288761),504944.27288401738,,,,,No event,No alert
89446c05e67ffff,59823396-f375-4697-9a7f-b048e37b08c8,POINT(-95.1658919747471 29.7987202622909),490397.11299562571,,,,,No event,No alert
89446c20d43ffff,315bea78-ea63-4f0b-8aa3-44d727cabd52,POINT(-95.3902717107056 30.0632190448842),491182.59585675958,,,,,No event,No alert
8948d6d9637ffff,82ddd937-e560-4729-b7b4-0e5927bbbcb0,POINT(-102.335912033826 31.8831450483602),490769.24757599673,,,,,No event,No alert
8926ca5106bffff,85aea6d9-a0d9-4f59-84ee-987c7558c0c4,POINT(-98.5865984537985 33.0928870732724),181913.65371116376,,,,,No event,No alert
8926cbda69bffff,3c38edbf-2b8d-41fc-9577-bf45be5d4274,POINT(-97.3643406574688 32.7890141962091),201233.52279259975,,,,,No event,No alert
8926cbd2823ffff,1078e06e-8e83-4513-9b9c-c921408499b0,POINT(-97.1202729689695 32.7624360099625),574929.75921170379,,,,,No event,No alert
89446dc91bbffff,5bb74c0d-6fd4-4c11-92f8-efecc076d93b,POINT(-95.613864490543 30.079347946768),216059.44892640904,,,,,No event,No alert
8926c832c33ffff,992ed46d-62e1-4ada-b9fd-130427ec230e,POINT(-96.3761900375007 33.1748111215897),405128.0246023431,,,,,No event,No alert
8926c937227ffff,bf12aa5c-8bbb-47b4-b8ba-e0e6cd6ea07c,POINT(-95.3171228602426 32.3548305630388),125265.17242890163,,,,,No event,No alert
8926da2cbd7ffff,67e50fa2-5bf6-4d84-a239-f7fb7db6e55f,POINT(-101.314720229729 32.2115674631214),339469.01370968635,,,,,No event,No alert
89446cb5a87ffff,ea3f7b77-669b-40cf-94db-0821c0875837,POINT(-95.6915548526257 29.6351596570794),444732.85054129915,,,,,No event,No alert
8926cbd2077ffff,4a45b533-2e1e-4a3a-9eab-fc7496abf735,POINT(-97.1693762314283 32.815508003873),171635.12220169714,,,,,No event,No alert
89489b79a5bffff,d7b7e945-38d6-45b5-aa4a-9b6a235b8db3,POINT(-97.740907032523 32.1709526530588),375126.02041918942,,,,,No event,No alert
8926c874e73ffff,dd1ed16c-0c7e-488f-a0cd-ca16346d08d0,POINT(-96.8027301699086 32.9998416934539),336162.39123091887,,,,,No event,No alert
89489b66373ffff,62e738d2-bc62-4645-8ca1-b24a3e62e18a,POINT(-98.1431338483743 32.2871618027712),423036.12351519085,,,,,No event,No alert
8926c87414fffff,abb9d176-4a84-4119-8ec2-fb113bbac83f,POINT(-96.8045188097002 33.0232627133586),799229.55557745858,,,,,No event,No alert
89446ca566fffff,dbbaf158-06f0-4e74-a3c1-05b59413dd1e,POINT(-95.6163172061998 29.739874068271),182046.01632662292,,,,,No event,No alert
89446c8d93bffff,116d0ab8-18d1-4dc6-b8a9-f9b91af1f5db,POINT(-95.2680734674287 29.5018209556794),120345.53871267478,,,,,No event,No alert
89446d51267ffff,af75234c-9463-4831-8cca-e5ce473a8214,POINT(-95.5335034656125 30.2460643954393),788733.35016178119,,,,,No event,No alert
8926c8c8d97ffff,a286ea5d-9a86-4542-9048-d9218cf1b738,POINT(-97.1457135864114 33.637281376814),207294.50982316193,,,,,No event,No alert
89446d31c4fffff,27e0e308-364e-41f8-8893-89832d594456,POINT(-96.3526230272392 30.6231838587405),124409.34380771252,,,,,No event,No alert
8948b38700fffff,e38ef2ec-9872-45b1-97c4-03d2a7d55ba3,POINT(-98.1696077902003 26.1820305353991),280291.43084663159,,,,,No event,No alert
89446c333abffff,dfce530d-2f1c-4b8a-a855-1d2dce8fc349,POINT(-95.3334900586666 29.8272745444708),239072.55462028217,,,,,No event,No alert
89446d31897ffff,54951135-f4bb-443d-a922-8b20630aada0,POINT(-96.3679726526662 30.6312489835756),235768.68122392526,,,,,No event,No alert
89446c37343ffff,d52dfa8a-648c-48f8-8165-31c35f794ebf,POINT(-95.4613801315958 29.9311983281718),331384.76200348005,,,,,No event,No alert
89446dcb013ffff,2ad0ae56-7f26-4ae5-ac2f-974c50d590e3,POINT(-95.620690421609 30.0086624981108),563249.10887207941,,,,,No event,No alert
8926c91408fffff,903de341-7493-452e-949d-96775e8cb2c5,POINT(-95.5260395845286 32.693645665025),311450.77129431255,,,,,No event,No alert
8926c98c867ffff,de8a3b85-219d-4418-a62f-a89b03144aed,POINT(-95.4632376241393 32.7858295283502),260695.6273099051,,,,,No event,No alert
8948b3bb063ffff,78201f2f-ce55-4bde-ae49-0c0fe9f8e51c,POINT(-98.1427789473924 26.3509327723602),257665.97224069198,,,,,No event,No alert
8948c61368bffff,66e1b055-deb6-4cd3-bb81-bb8205b554b3,POINT(-106.458659131419 31.803869085312),159284.49544802107,,,,,No event,No alert
89444dae30fffff,e6023832-38e8-4c35-b8ad-78dd6a9d281e,POINT(-94.9665204690734 33.1441362141155),335214.00119571149,,,,,No event,No alert
8948b384cabffff,937abfea-d4c6-46f6-a3da-9c35ac7f5495,POINT(-98.2573094231034 26.2623309383928),194573.46410541196,,,,,No event,No alert
8948c613513ffff,74dccdef-2323-4822-b1dd-f00586cb0846,POINT(-106.507421931524 31.8098883732409),184730.0047903512,,,,,No event,No alert
89446c303c7ffff,9f9b4522-a0a6-4b11-948b-2d485a71b1eb,POINT(-95.3612454363961 29.8727098095483),215321.1332324578,,,,,No event,No alert
8926cbca433ffff,27bc4163-e49c-4289-af5b-a28d80b802cb,POINT(-97.362463661846 32.621811848126),486112.87557372,,,,,No event,No alert
89489b4196fffff,5aa9dc89-99a6-4e03-9488-79c07bce2480,POINT(-97.6724282679812 31.9225741256179),226549.48611194929,,,,,No event,No alert
89446c15517ffff,7c8b0da4-9fb4-4532-9487-f098cf737c32,POINT(-95.2078300483252 29.5794285509626),522469.71039031196,,,,,No event,No alert
8948c6cc17bffff,266c6032-1ed5-4a66-8562-aad97fe62c81,POINT(-106.199433938372 31.8736090446592),244636.63538524354,,,,,No event,No alert
89446cb1b4bffff,7867020d-c9a7-45bb-9776-c5404d2b4ae0,POINT(-95.5449145660369 29.5543883222452),570588.627455788,,,,,No event,No alert
8926c86f223ffff,91b2e079-6bef-4965-8c18-b3a641c6be1b,POINT(-97.0796057109779 32.8612482022168),787846.72673361155,,,,,No event,No alert
894468ab513ffff,dbaeb4ff-b930-4cf0-b56c-419f2f3c10ca,POINT(-95.1860841723616 30.7599185591304),193440.42690239826,,,,,No event,No alert
8948c6c4233ffff,ef067449-0d93-4f22-89e0-26a2b1c42b1b,POINT(-106.341403478458 31.794243546053),249472.25992313729,,,,,No event,No alert
8926c80eb17ffff,bae577c7-0e5f-4f8f-a6c2-253418aa8b18,POINT(-96.7169765786448 33.1838857533076),1075636.5742980982,,,,,No event,No alert
8926de6b583ffff,624d2d84-b60b-46b0-a375-ddefd71852c3,POINT(-101.895848557189 33.556113428153),301688.73920319049,,,,,No event,No alert
89446cb9cd7ffff,e8df3dc0-f644-4120-aca6-0645347bb295,POINT(-95.3946952932089 29.5542273642488),590681.67147843179,,,,,No event,No alert
8926cbd3043ffff,c53ec3aa-626e-44d0-aa36-66f54d70dac2,POINT(-97.2517333557528 32.8191091372695),249334.97087995402,,,,,No event,No alert
89446cb418bffff,2c845337-e720-466e-8781-3e9daf07a1d4,POINT(-95.763436868699 29.5884388572759),256703.483870084,,,,,No event,No alert
894468a1b17ffff,d0230f81-c89c-4a9b-a537-422030d0033c,POINT(-95.3387658006086 30.8445982731915),307449.51254705881,,,,,No event,No alert
8926c83833bffff,9e6c1a73-489d-4e02-a70c-daee8894afe7,POINT(-96.6388160927235 33.0719732870825),742243.547680369,,,,,No event,No alert
8926c805c2bffff,a2a61ae4-bda7-498d-bc3e-6ecdd6eb5245,POINT(-96.6364223634529 33.2213794656639),332665.9209305094,,,,,No event,No alert
8926c80cc67ffff,8fb4b886-fb12-4718-8e5c-6ddd93f2e871,POINT(-96.7457153130932 33.1640604118871),1105898.8919738347,,,,,No event,No alert
89446c32a6bffff,aab2bd80-58fc-4581-bfe2-d9db2407368c,POINT(-95.40345625157 29.8696477291375),170252.35635185894,,,,,No event,No alert
89446dca0afffff,9e1a3df3-3acf-48e8-8d52-aa338fced30d,POINT(-95.7009630393808 30.0141815220538),464768.25236370612,,,,,No event,No alert
89446c3727bffff,b51385fa-f1ef-4fbd-9aec-f73e5a6569e7,POINT(-95.4432741485739 29.9209076159273),257480.52309849972,,,,,No event,No alert
8926d985a57ffff,88c55fd8-798c-4bc5-ab49-8c84304a49ec,POINT(-98.9548691880685 32.7602673485459),236227.59980680983,,,,,No event,No alert
89446c7255bffff,ae2006c2-7936-4c97-9919-c78d126c65f1,POINT(-94.9199404809919 29.8005618247997),331215.37533605029,,,,,No event,No alert
8926c839253ffff,285b8fbe-d829-44ac-a1f7-19d182463a8c,POINT(-96.7456812505389 33.093433934355),818081.34610308788,,,,,No event,No alert
89446d5b453ffff,ebd6b371-477b-4578-a535-c137f024083f,POINT(-95.413019175745 30.2052868912545),494942.52900530852,,,,,No event,No alert
894469b16d3ffff,3c905464-cd57-41e0-8fdf-e9335e996ebf,POINT(-96.3346254088969 31.3153032254546),291603.91041026253,,,,,No event,No alert
8926c2719a3ffff,6bdb58da-41a4-44ce-9933-ea745ae8dc58,POINT(-100.251484151985 35.2129065901205),178232.52184130112,,,,,No event,No alert
89446c0cb03ffff,961ca4c6-b610-4ec9-ab54-8d0c78cc2771,POINT(-95.0828744574821 29.881768815645),212590.48435244471,,,,,No event,No alert
89446c36187ffff,0b8081d7-0704-4ea7-96ea-52e9c0f3b39d,POINT(-95.5723558769802 29.915439656779),385440.56300548121,,,,,No event,No alert
8948b38408bffff,40f09217-fa25-43ab-910e-2f0f0edff586,POINT(-98.212045374003 26.2239728943942),353689.71913681191,,,,,No event,No alert
8926c998303ffff,9ef06e07-4671-47b0-828c-803a94c2bd5d,POINT(-95.6242867543826 33.0911656385525),354676.73458435858,,,,,No event,No alert
89444d97623ffff,41159267-0a1e-4df8-a11f-d53b02c23db8,POINT(-94.8246665467272 32.5286141837589),218517.5173803365,,,,,No event,No alert
8926cbd2027ffff,6ec0b6d2-20c8-40a9-bbf0-defc17caba29,POINT(-97.1600467440461 32.8124547847705),362230.43748781295,,,,,No event,No alert
8926c82b6cfffff,317de5e8-ae8a-4370-be05-c7fa094ed83d,POINT(-96.7306616377633 33.0105555970692),410379.11327989033,,,,,No event,No alert
89446c0242bffff,dc962a71-d632-41b2-8c11-52b919a90269,POINT(-95.1174677447712 29.5770444353444),769731.7586811448,,,,,No event,No alert
89446cc1c8fffff,ea2071fa-a42e-4dd5-9984-de8cbb66a263,POINT(-94.7949959566565 29.2997716402319),267993.11846480839,,,,,No event,No alert
8926cbd998bffff,9fbc3759-a90c-4d55-95f5-3340615e5cfc,POINT(-97.3900987374941 32.6459121447422),354202.7573240202,,,,,No event,No alert
8926ddb0463ffff,13bb69c5-99a1-456d-bc50-36f72c7211bf,POINT(-98.5625566897149 33.8660872083754),205159.68304070621,,,,,No event,No alert
89488b20c83ffff,1ee3eaad-ae5a-41a3-9f2d-51c84cf29762,POINT(-102.117798556934 32.0372945458065),401354.98317744181,,,,,No event,No alert
8948c61a5a7ffff,287fc324-767e-467f-8179-dee142215058,POINT(-106.415551507535 31.8809165181709),241090.59045977949,,,,,No event,No alert
89446ca095bffff,a203bcdf-49f7-43b2-816f-7c19a986eccd,POINT(-95.6120215420986 29.7022311650815),245620.34145748091,,,,,No event,No alert
89444d91317ffff,106afaf6-889c-4bf6-8905-91955f0461a6,POINT(-94.658267133941 32.5062493229257),337625.41661815176,,,,,No event,No alert
89446cb887bffff,070f57ab-c234-4e56-9d84-aaa33a0d6d42,POINT(-95.4542807982135 29.5913864692696),218381.36127583837,,,,,No event,No alert
8926de799d3ffff,58f75439-d360-4f8e-bb8f-c38e4dd8618f,POINT(-101.87984314328 33.59257729326),97230.02653419858,,,,,No event,No alert
8926cbac3d3ffff,773c5d61-b96d-4508-9e50-a2944a8d8b98,POINT(-96.4815254161277 32.0774422098362),205393.02406110708,,,,,No event,No alert
8926de6b2b7ffff,23470347-3a0d-4eec-b6eb-efd44443af78,POINT(-101.94060035332 33.5322831971685),255137.70985187325,,,,,No event,No alert
89446ca2e33ffff,48eae42c-97e0-4553-bea0-e8e0e9463cc1,POINT(-95.6249416447517 29.6248804209508),729710.99624894327,,,,,No event,No alert
8926cbd02dbffff,fd017404-456a-4a73-9005-a872036ad7be,POINT(-97.2338224574012 32.769357239729),272667.38083620579,,,,,No event,No alert
89446e04333ffff,f5b7be1a-ec78-4c2f-9290-d8df79cbd897,POINT(-94.0128622016651 30.1695614997974),199031.32542548116,,,,,No event,No alert
8926de6a04bffff,efa5059e-f041-44b3-9b9f-63faedefff36,POINT(-101.867184468266 33.543120102414),309320.57826336048,,,,,No event,No alert
8926da46667ffff,ad467ad3-2c9a-44b4-8a8d-fdaeff6eee07,POINT(-101.980327593538 32.732514797744),240389.96609247476,,,,,No event,No alert
8948c6c2c5bffff,b3c9c022-a3c7-4c11-84fa-4474eb5fde04,POINT(-106.260178675507 31.6567915565498),164689.02197324648,,,,,No event,No alert
89444d952d7ffff,8e2f95f9-f79f-4d50-b912-c4acaceee225,POINT(-94.779887586875 32.5874284683834),505659.65499329031,,,,,No event,No alert
89446cadc3bffff,3c000206-195e-4d4a-85cf-6aa182a1684d,POINT(-95.5126326235873 29.8362114023719),275263.75826687354,,,,,No event,No alert
8926ddd0d53ffff,47109738-48ab-4c85-9809-deee899679ef,POINT(-99.310908956772 34.1575458115029),261980.8600678363,,,,,No event,No alert
